,SleepDay,TotalMinutesAsleep,TotalTimeInBed
0,4/12/2016 12:00:00 AM,327,346
1,4/13/2016 12:00:00 AM,384,407
2,4/15/2016 12:00:00 AM,412,442
3,4/16/2016 12:00:00 AM,340,367
4,4/17/2016 12:00:00 AM,700,712
5,4/19/2016 12:00:00 AM,304,320
6,4/20/2016 12:00:00 AM,360,377
7,4/21/2016 12:00:00 AM,325,364
8,4/23/2016 12:00:00 AM,361,384
9,4/24/2016 12:00:00 AM,430,449
10,4/25/2016 12:00:00 AM,277,323
11,4/26/2016 12:00:00 AM,245,274
12,4/28/2016 12:00:00 AM,366,393
13,4/29/2016 12:00:00 AM,341,354
14,4/30/2016 12:00:00 AM,404,425
15,5/1/2016 12:00:00 AM,369,396
16,5/2/2016 12:00:00 AM,277,309
17,5/3/2016 12:00:00 AM,273,296
18,5/5/2016 12:00:00 AM,247,264
19,5/6/2016 12:00:00 AM,334,367
20,5/7/2016 12:00:00 AM,331,349
21,5/8/2016 12:00:00 AM,594,611
22,5/9/2016 12:00:00 AM,338,342
23,5/10/2016 12:00:00 AM,383,403
24,5/11/2016 12:00:00 AM,285,306
25,4/29/2016 12:00:00 AM,119,127
26,4/30/2016 12:00:00 AM,124,142
27,5/2/2016 12:00:00 AM,796,961
28,5/8/2016 12:00:00 AM,137,154
29,4/15/2016 12:00:00 AM,644,961
30,4/30/2016 12:00:00 AM,722,961
31,5/1/2016 12:00:00 AM,590,961
32,4/12/2016 12:00:00 AM,750,775
33,4/13/2016 12:00:00 AM,398,422
34,4/15/2016 12:00:00 AM,475,499
35,4/26/2016 12:00:00 AM,296,315
36,4/28/2016 12:00:00 AM,166,178
37,4/12/2016 12:00:00 AM,503,546
38,4/13/2016 12:00:00 AM,531,565
39,4/14/2016 12:00:00 AM,545,568
40,4/15/2016 12:00:00 AM,523,573
41,4/16/2016 12:00:00 AM,524,567
42,4/17/2016 12:00:00 AM,437,498
43,4/19/2016 12:00:00 AM,498,540
44,4/20/2016 12:00:00 AM,461,510
45,4/21/2016 12:00:00 AM,477,514
46,4/22/2016 12:00:00 AM,520,545
47,4/23/2016 12:00:00 AM,522,554
48,4/24/2016 12:00:00 AM,555,591
49,4/25/2016 12:00:00 AM,506,531
50,4/27/2016 12:00:00 AM,508,545
51,4/28/2016 12:00:00 AM,513,545
52,4/29/2016 12:00:00 AM,490,510
53,4/30/2016 12:00:00 AM,573,607
54,5/1/2016 12:00:00 AM,527,546
55,5/2/2016 12:00:00 AM,511,543
56,5/4/2016 12:00:00 AM,538,560
57,5/5/2016 12:00:00 AM,468,485
58,5/6/2016 12:00:00 AM,524,548
59,5/7/2016 12:00:00 AM,511,521
60,5/8/2016 12:00:00 AM,541,568
61,5/9/2016 12:00:00 AM,531,556
62,5/10/2016 12:00:00 AM,357,380
63,5/11/2016 12:00:00 AM,523,553
64,5/12/2016 12:00:00 AM,456,485
65,4/23/2016 12:00:00 AM,61,69
66,4/13/2016 12:00:00 AM,467,531
67,4/14/2016 12:00:00 AM,445,489
68,4/15/2016 12:00:00 AM,452,504
69,4/17/2016 12:00:00 AM,556,602
70,4/18/2016 12:00:00 AM,500,557
71,4/19/2016 12:00:00 AM,465,514
72,4/21/2016 12:00:00 AM,460,484
73,4/22/2016 12:00:00 AM,405,461
74,4/23/2016 12:00:00 AM,374,386
75,4/24/2016 12:00:00 AM,442,459
76,4/25/2016 12:00:00 AM,433,471
77,4/26/2016 12:00:00 AM,436,490
78,4/27/2016 12:00:00 AM,448,499
79,4/28/2016 12:00:00 AM,408,450
80,4/29/2016 12:00:00 AM,411,473
81,4/12/2016 12:00:00 AM,274,469
82,4/13/2016 12:00:00 AM,295,456
83,4/14/2016 12:00:00 AM,291,397
84,4/15/2016 12:00:00 AM,424,556
85,4/16/2016 12:00:00 AM,283,510
86,4/17/2016 12:00:00 AM,381,566
87,4/18/2016 12:00:00 AM,412,522
88,4/19/2016 12:00:00 AM,219,395
89,4/20/2016 12:00:00 AM,152,305
90,4/21/2016 12:00:00 AM,332,512
91,4/22/2016 12:00:00 AM,355,476
92,4/23/2016 12:00:00 AM,235,372
93,4/24/2016 12:00:00 AM,310,526
94,4/25/2016 12:00:00 AM,262,467
95,4/26/2016 12:00:00 AM,250,371
96,4/27/2016 12:00:00 AM,349,540
97,4/28/2016 12:00:00 AM,261,423
98,4/29/2016 12:00:00 AM,333,478
99,4/30/2016 12:00:00 AM,237,382
100,5/1/2016 12:00:00 AM,383,626
101,5/2/2016 12:00:00 AM,230,384
102,5/3/2016 12:00:00 AM,292,500
103,5/4/2016 12:00:00 AM,213,336
104,5/5/2016 12:00:00 AM,318,480
105,5/6/2016 12:00:00 AM,323,512
106,5/7/2016 12:00:00 AM,237,443
107,5/8/2016 12:00:00 AM,259,456
108,5/10/2016 12:00:00 AM,312,452
109,4/12/2016 12:00:00 AM,501,541
110,4/16/2016 12:00:00 AM,77,77
111,5/3/2016 12:00:00 AM,322,332
112,5/4/2016 12:00:00 AM,478,536
113,5/5/2016 12:00:00 AM,226,248
114,5/6/2016 12:00:00 AM,385,408
115,5/8/2016 12:00:00 AM,364,402
116,5/10/2016 12:00:00 AM,442,494
117,4/14/2016 12:00:00 AM,535,557
118,4/15/2016 12:00:00 AM,465,491
119,4/16/2016 12:00:00 AM,506,522
120,4/18/2016 12:00:00 AM,515,551
121,4/19/2016 12:00:00 AM,461,498
122,4/20/2016 12:00:00 AM,523,543
123,4/21/2016 12:00:00 AM,59,65
124,4/22/2016 12:00:00 AM,533,550
125,4/23/2016 12:00:00 AM,692,722
126,4/24/2016 12:00:00 AM,467,501
127,4/25/2016 12:00:00 AM,488,506
128,4/26/2016 12:00:00 AM,505,516
129,4/27/2016 12:00:00 AM,286,307
130,4/28/2016 12:00:00 AM,497,522
131,4/29/2016 12:00:00 AM,523,546
132,4/30/2016 12:00:00 AM,490,516
133,5/1/2016 12:00:00 AM,484,500
134,5/2/2016 12:00:00 AM,478,506
135,5/3/2016 12:00:00 AM,474,512
136,5/6/2016 12:00:00 AM,450,491
137,5/7/2016 12:00:00 AM,507,530
138,5/8/2016 12:00:00 AM,602,638
139,5/9/2016 12:00:00 AM,535,565
140,5/10/2016 12:00:00 AM,487,517
141,5/11/2016 12:00:00 AM,529,558
142,5/12/2016 12:00:00 AM,302,321
143,4/15/2016 12:00:00 AM,499,526
144,4/16/2016 12:00:00 AM,426,448
145,4/17/2016 12:00:00 AM,619,641
146,4/18/2016 12:00:00 AM,99,104
147,4/19/2016 12:00:00 AM,329,338
148,4/20/2016 12:00:00 AM,421,451
149,4/21/2016 12:00:00 AM,442,458
150,4/22/2016 12:00:00 AM,82,85
151,4/23/2016 12:00:00 AM,478,501
152,4/24/2016 12:00:00 AM,552,595
153,4/26/2016 12:00:00 AM,319,346
154,4/27/2016 12:00:00 AM,439,500
155,4/28/2016 12:00:00 AM,428,458
156,4/30/2016 12:00:00 AM,409,430
157,5/1/2016 12:00:00 AM,547,597
158,5/2/2016 12:00:00 AM,368,376
159,5/4/2016 12:00:00 AM,390,414
160,5/5/2016 12:00:00 AM,471,495
161,5/5/2016 12:00:00 AM,471,495
162,5/7/2016 12:00:00 AM,472,496
163,5/8/2016 12:00:00 AM,529,541
164,5/9/2016 12:00:00 AM,62,65
165,5/10/2016 12:00:00 AM,354,375
166,5/11/2016 12:00:00 AM,469,494
167,4/12/2016 12:00:00 AM,429,457
168,4/13/2016 12:00:00 AM,370,406
169,4/14/2016 12:00:00 AM,441,492
170,4/15/2016 12:00:00 AM,337,379
171,4/16/2016 12:00:00 AM,462,499
172,4/17/2016 12:00:00 AM,98,107
173,4/19/2016 12:00:00 AM,388,424
174,4/20/2016 12:00:00 AM,439,462
175,4/21/2016 12:00:00 AM,436,469
176,4/22/2016 12:00:00 AM,388,417
177,4/25/2016 12:00:00 AM,328,345
178,4/26/2016 12:00:00 AM,353,391
179,4/27/2016 12:00:00 AM,332,374
180,4/28/2016 12:00:00 AM,419,442
181,4/29/2016 12:00:00 AM,106,108
182,4/30/2016 12:00:00 AM,322,353
183,5/1/2016 12:00:00 AM,439,459
184,5/2/2016 12:00:00 AM,502,542
185,5/3/2016 12:00:00 AM,417,450
186,5/4/2016 12:00:00 AM,337,363
187,5/5/2016 12:00:00 AM,462,513
188,5/6/2016 12:00:00 AM,374,402
189,5/7/2016 12:00:00 AM,401,436
190,5/8/2016 12:00:00 AM,361,391
191,5/9/2016 12:00:00 AM,457,533
192,5/10/2016 12:00:00 AM,405,426
193,5/11/2016 12:00:00 AM,499,530
194,5/12/2016 12:00:00 AM,483,501
195,4/21/2016 12:00:00 AM,126,137
196,4/26/2016 12:00:00 AM,103,121
197,4/29/2016 12:00:00 AM,171,179
198,5/1/2016 12:00:00 AM,115,129
199,5/8/2016 12:00:00 AM,123,134
200,4/12/2016 12:00:00 AM,425,439
201,4/13/2016 12:00:00 AM,400,430
202,4/14/2016 12:00:00 AM,384,415
203,4/15/2016 12:00:00 AM,253,257
204,4/16/2016 12:00:00 AM,382,406
205,4/17/2016 12:00:00 AM,591,612
206,4/18/2016 12:00:00 AM,293,312
207,4/19/2016 12:00:00 AM,457,487
208,4/20/2016 12:00:00 AM,454,468
209,4/21/2016 12:00:00 AM,425,434
210,4/23/2016 12:00:00 AM,465,475
211,4/24/2016 12:00:00 AM,480,506
212,4/25/2016 12:00:00 AM,370,380
213,4/26/2016 12:00:00 AM,421,429
214,4/27/2016 12:00:00 AM,432,449
215,4/28/2016 12:00:00 AM,442,461
216,4/29/2016 12:00:00 AM,433,447
217,4/30/2016 12:00:00 AM,479,501
218,5/3/2016 12:00:00 AM,327,373
219,5/4/2016 12:00:00 AM,412,434
220,5/5/2016 12:00:00 AM,414,428
221,5/6/2016 12:00:00 AM,404,449
222,5/7/2016 12:00:00 AM,520,543
223,5/7/2016 12:00:00 AM,520,543
224,5/9/2016 12:00:00 AM,435,458
225,5/10/2016 12:00:00 AM,416,431
226,5/11/2016 12:00:00 AM,354,366
227,5/12/2016 12:00:00 AM,404,442
228,4/12/2016 12:00:00 AM,441,464
229,4/13/2016 12:00:00 AM,455,488
230,4/14/2016 12:00:00 AM,357,418
231,4/15/2016 12:00:00 AM,377,409
232,4/16/2016 12:00:00 AM,651,686
233,4/17/2016 12:00:00 AM,350,402
234,4/18/2016 12:00:00 AM,520,541
235,4/19/2016 12:00:00 AM,357,410
236,4/20/2016 12:00:00 AM,658,678
237,4/21/2016 12:00:00 AM,399,431
238,4/22/2016 12:00:00 AM,322,353
239,4/23/2016 12:00:00 AM,631,725
240,4/24/2016 12:00:00 AM,553,640
241,4/25/2016 12:00:00 AM,433,468
242,4/26/2016 12:00:00 AM,412,453
243,4/27/2016 12:00:00 AM,347,391
244,4/28/2016 12:00:00 AM,421,457
245,4/29/2016 12:00:00 AM,450,495
246,4/30/2016 12:00:00 AM,775,843
247,5/1/2016 12:00:00 AM,622,686
248,5/2/2016 12:00:00 AM,409,471
249,5/3/2016 12:00:00 AM,380,429
250,5/4/2016 12:00:00 AM,447,470
251,5/5/2016 12:00:00 AM,419,464
252,5/6/2016 12:00:00 AM,400,434
253,5/7/2016 12:00:00 AM,442,470
254,5/8/2016 12:00:00 AM,568,608
255,5/9/2016 12:00:00 AM,453,494
256,5/10/2016 12:00:00 AM,418,443
257,5/11/2016 12:00:00 AM,463,486
258,5/12/2016 12:00:00 AM,438,475
259,4/12/2016 12:00:00 AM,419,438
260,4/13/2016 12:00:00 AM,432,458
261,4/14/2016 12:00:00 AM,477,497
262,4/15/2016 12:00:00 AM,392,413
263,4/16/2016 12:00:00 AM,406,445
264,4/17/2016 12:00:00 AM,549,583
265,4/18/2016 12:00:00 AM,527,553
266,4/19/2016 12:00:00 AM,449,465
267,4/20/2016 12:00:00 AM,447,480
268,4/21/2016 12:00:00 AM,414,437
269,4/22/2016 12:00:00 AM,338,366
270,4/23/2016 12:00:00 AM,384,402
271,4/24/2016 12:00:00 AM,543,615
272,4/25/2016 12:00:00 AM,421,461
273,4/26/2016 12:00:00 AM,354,377
274,4/27/2016 12:00:00 AM,424,452
275,4/28/2016 12:00:00 AM,361,372
276,4/29/2016 12:00:00 AM,459,485
277,4/30/2016 12:00:00 AM,412,433
278,5/1/2016 12:00:00 AM,379,398
279,5/2/2016 12:00:00 AM,525,553
280,5/3/2016 12:00:00 AM,508,543
281,5/4/2016 12:00:00 AM,603,634
282,5/5/2016 12:00:00 AM,74,78
283,5/10/2016 12:00:00 AM,504,562
284,5/11/2016 12:00:00 AM,431,476
285,4/16/2016 12:00:00 AM,380,398
286,4/17/2016 12:00:00 AM,336,350
287,4/18/2016 12:00:00 AM,493,510
288,4/19/2016 12:00:00 AM,465,492
289,4/20/2016 12:00:00 AM,474,502
290,4/21/2016 12:00:00 AM,508,550
291,4/22/2016 12:00:00 AM,480,546
292,4/23/2016 12:00:00 AM,492,539
293,4/24/2016 12:00:00 AM,353,367
294,4/27/2016 12:00:00 AM,542,557
295,4/28/2016 12:00:00 AM,393,416
296,4/29/2016 12:00:00 AM,600,636
297,5/1/2016 12:00:00 AM,507,575
298,5/5/2016 12:00:00 AM,392,415
299,5/6/2016 12:00:00 AM,658,698
300,5/7/2016 12:00:00 AM,498,507
301,5/8/2016 12:00:00 AM,555,603
302,5/9/2016 12:00:00 AM,492,522
303,4/13/2016 12:00:00 AM,235,260
304,4/14/2016 12:00:00 AM,423,441
305,4/15/2016 12:00:00 AM,391,406
306,4/12/2016 12:00:00 AM,366,387
307,4/13/2016 12:00:00 AM,630,679
308,4/14/2016 12:00:00 AM,508,535
309,4/15/2016 12:00:00 AM,370,386
310,4/16/2016 12:00:00 AM,357,366
311,4/17/2016 12:00:00 AM,427,446
312,4/18/2016 12:00:00 AM,442,458
313,4/19/2016 12:00:00 AM,476,535
314,4/20/2016 12:00:00 AM,418,424
315,4/21/2016 12:00:00 AM,451,457
316,4/22/2016 12:00:00 AM,425,435
317,4/23/2016 12:00:00 AM,528,546
318,4/24/2016 12:00:00 AM,511,514
319,4/25/2016 12:00:00 AM,400,415
320,4/26/2016 12:00:00 AM,441,446
321,4/27/2016 12:00:00 AM,455,467
322,4/28/2016 12:00:00 AM,440,453
323,4/29/2016 12:00:00 AM,433,447
324,4/30/2016 12:00:00 AM,422,424
325,5/1/2016 12:00:00 AM,411,426
326,5/2/2016 12:00:00 AM,466,482
327,5/3/2016 12:00:00 AM,394,418
328,5/4/2016 12:00:00 AM,442,455
329,5/5/2016 12:00:00 AM,467,491
330,5/6/2016 12:00:00 AM,443,462
331,5/7/2016 12:00:00 AM,298,334
332,5/8/2016 12:00:00 AM,541,569
333,5/9/2016 12:00:00 AM,489,497
334,5/10/2016 12:00:00 AM,469,481
335,5/11/2016 12:00:00 AM,452,480
336,5/12/2016 12:00:00 AM,516,535
337,4/16/2016 12:00:00 AM,79,82
338,5/1/2016 12:00:00 AM,58,61
339,4/12/2016 12:00:00 AM,514,525
340,4/13/2016 12:00:00 AM,451,465
341,4/14/2016 12:00:00 AM,472,476
342,4/15/2016 12:00:00 AM,377,386
343,4/19/2016 12:00:00 AM,472,483
344,4/20/2016 12:00:00 AM,492,502
345,4/21/2016 12:00:00 AM,390,411
346,4/22/2016 12:00:00 AM,428,448
347,4/24/2016 12:00:00 AM,681,704
348,4/25/2016 12:00:00 AM,446,447
349,4/26/2016 12:00:00 AM,485,500
350,4/27/2016 12:00:00 AM,469,479
351,4/28/2016 12:00:00 AM,354,367
352,4/30/2016 12:00:00 AM,485,489
353,5/1/2016 12:00:00 AM,388,407
354,5/2/2016 12:00:00 AM,440,459
355,5/3/2016 12:00:00 AM,456,461
356,5/4/2016 12:00:00 AM,420,436
357,5/6/2016 12:00:00 AM,322,333
358,5/7/2016 12:00:00 AM,530,548
359,5/8/2016 12:00:00 AM,481,510
360,5/9/2016 12:00:00 AM,427,438
361,5/11/2016 12:00:00 AM,451,463
362,5/12/2016 12:00:00 AM,444,457
363,4/20/2016 12:00:00 AM,486,493
364,4/23/2016 12:00:00 AM,331,337
365,5/7/2016 12:00:00 AM,74,75
366,4/12/2016 12:00:00 AM,338,356
367,4/13/2016 12:00:00 AM,447,487
368,4/14/2016 12:00:00 AM,424,455
369,4/15/2016 12:00:00 AM,513,533
370,4/16/2016 12:00:00 AM,611,689
371,4/17/2016 12:00:00 AM,525,591
372,4/18/2016 12:00:00 AM,398,451
373,4/19/2016 12:00:00 AM,387,421
374,4/20/2016 12:00:00 AM,381,409
375,4/21/2016 12:00:00 AM,396,417
376,4/22/2016 12:00:00 AM,441,469
377,4/23/2016 12:00:00 AM,565,591
378,4/24/2016 12:00:00 AM,458,492
379,4/25/2016 12:00:00 AM,388,402
380,4/25/2016 12:00:00 AM,388,402
381,4/26/2016 12:00:00 AM,550,584
382,4/27/2016 12:00:00 AM,531,600
383,4/28/2016 12:00:00 AM,506,556
384,4/29/2016 12:00:00 AM,527,562
385,4/30/2016 12:00:00 AM,468,555
386,5/1/2016 12:00:00 AM,475,539
387,5/2/2016 12:00:00 AM,351,385
388,5/3/2016 12:00:00 AM,405,429
389,5/4/2016 12:00:00 AM,441,477
390,5/5/2016 12:00:00 AM,381,417
391,5/6/2016 12:00:00 AM,323,355
392,5/7/2016 12:00:00 AM,459,513
393,5/8/2016 12:00:00 AM,545,606
394,5/9/2016 12:00:00 AM,359,399
395,5/10/2016 12:00:00 AM,342,391
396,5/11/2016 12:00:00 AM,368,387
397,5/12/2016 12:00:00 AM,496,546
398,4/12/2016 12:00:00 AM,458,493
399,4/13/2016 12:00:00 AM,531,552
400,4/14/2016 12:00:00 AM,486,503
401,4/15/2016 12:00:00 AM,363,377
402,4/20/2016 12:00:00 AM,528,547
403,4/22/2016 12:00:00 AM,391,407
404,4/23/2016 12:00:00 AM,339,360
405,4/27/2016 12:00:00 AM,423,428
406,4/28/2016 12:00:00 AM,402,416
407,4/29/2016 12:00:00 AM,398,406
408,4/30/2016 12:00:00 AM,343,360
409,5/1/2016 12:00:00 AM,503,527
410,5/2/2016 12:00:00 AM,415,423
411,5/3/2016 12:00:00 AM,516,545
412,5/4/2016 12:00:00 AM,439,463
