,Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
429,2016-09-06 22:11:10,2016-09-07 06:22:09,70%,8:10,,Drank tea:Worked out,60.60493827160494,7370
430,2016-09-07 22:31:00,2016-09-08 06:21:04,69%,7:50,,Drank tea:Worked out,60.60493827160494,5658
431,2016-09-08 22:28:57,2016-09-09 06:10:18,61%,7:41,,Drank tea:Worked out,60.60493827160494,7107
432,2016-09-10 00:45:06,2016-09-10 07:06:54,58%,6:21,,Drank coffee:Worked out,60.60493827160494,7048
433,2016-09-10 22:44:13,2016-09-11 06:01:14,33%,7:17,,Drank tea,60.60493827160494,6925
434,2016-09-11 23:05:56,2016-09-12 06:20:22,60%,7:14,,Drank coffee,60.60493827160494,1130
435,2016-09-12 22:46:00,2016-09-13 06:20:12,67%,7:34,,Drank tea:Worked out,60.60493827160494,7025
436,2016-09-13 21:55:44,2016-09-14 06:07:55,59%,8:12,,Drank tea:Worked out,60.60493827160494,5955
437,2016-09-14 22:26:52,2016-09-15 06:20:38,65%,7:53,,Drank tea:Worked out,60.60493827160494,9243
438,2016-09-17 22:26:00,2016-09-18 08:22:25,70%,9:56,,Drank coffee,60.60493827160494,908
439,2016-09-18 22:28:43,2016-09-19 06:24:18,57%,7:55,,Drank coffee:Worked out,60.60493827160494,2191
440,2016-09-19 22:14:12,2016-09-20 06:22:04,60%,8:07,,Drank tea:Worked out,60.60493827160494,11650
441,2016-09-20 22:39:22,2016-09-21 06:15:30,57%,7:36,,Drank tea:Worked out,60.60493827160494,10842
442,2016-09-21 22:11:55,2016-09-22 06:11:36,60%,7:59,,Drank tea,60.60493827160494,5765
443,2016-09-22 22:26:20,2016-09-23 06:55:45,70%,8:29,,Drank tea:Worked out,60.60493827160494,8047
444,2016-09-25 22:53:08,2016-09-26 06:24:53,58%,7:31,,Drank coffee:Drank tea:Worked out,60.60493827160494,359
445,2016-09-26 22:17:19,2016-09-27 06:20:57,55%,8:03,,Drank tea:Stressful day:Worked out,60.60493827160494,8733
446,2016-09-27 22:22:09,2016-09-28 06:06:46,55%,7:44,,Drank tea:Worked out,60.60493827160494,6963
447,2016-09-28 23:10:52,2016-09-29 06:20:16,60%,7:09,,Drank coffee:Drank tea:Worked out,60.60493827160494,10392
448,2016-09-29 22:50:50,2016-09-30 06:20:29,53%,7:29,,Drank coffee:Worked out,60.60493827160494,7230
449,2016-10-01 00:06:21,2016-10-01 08:27:00,67%,8:20,,Drank coffee:Drank tea:Worked out,60.60493827160494,7255
450,2016-10-01 23:23:45,2016-10-02 07:50:03,55%,8:26,,Drank coffee,60.60493827160494,4555
451,2016-10-02 23:29:07,2016-10-03 06:25:22,54%,6:56,,Drank coffee:Drank tea,60.60493827160494,8954
452,2016-10-03 22:24:38,2016-10-04 06:03:11,62%,7:38,,Drank coffee:Drank tea:Worked out,60.60493827160494,9726
453,2016-10-04 21:53:10,2016-10-05 06:21:35,66%,8:28,,Drank tea:Worked out,60.60493827160494,8587
454,2016-10-05 22:33:02,2016-10-06 06:21:09,54%,7:48,,Drank tea:Worked out,60.60493827160494,8612
455,2016-10-07 00:07:25,2016-10-07 06:40:59,52%,6:33,,Drank tea:Worked out,60.60493827160494,8737
456,2016-10-07 23:18:12,2016-10-08 07:20:20,71%,8:02,,Drank coffee:Drank tea:Worked out,60.60493827160494,10375
457,2016-10-10 22:38:44,2016-10-11 06:28:39,59%,7:49,,Drank coffee:Drank tea:Worked out,60.60493827160494,21870
458,2016-10-11 22:28:30,2016-10-12 06:14:27,56%,7:45,,Drank tea:Worked out,60.60493827160494,10106
459,2016-10-12 22:48:24,2016-10-13 06:05:17,65%,7:16,,Drank coffee:Worked out,60.60493827160494,9308
460,2016-10-13 22:26:35,2016-10-14 06:30:44,61%,8:04,,Drank coffee:Worked out,60.60493827160494,8406
461,2016-10-15 23:00:24,2016-10-16 07:31:15,71%,8:30,,Drank coffee,60.60493827160494,779
462,2016-10-16 22:52:39,2016-10-17 06:20:38,50%,7:27,,Drank coffee:Drank tea,60.60493827160494,3932
463,2016-10-17 22:53:05,2016-10-18 06:27:22,63%,7:34,,Drank coffee:Drank tea:Worked out,60.60493827160494,10266
464,2016-10-18 22:34:56,2016-10-19 06:10:12,67%,7:35,,Drank coffee:Stressful day:Worked out,60.60493827160494,10540
465,2016-10-19 22:13:21,2016-10-20 05:49:19,64%,7:35,,Drank coffee:Worked out,60.60493827160494,8164
466,2016-10-20 22:14:18,2016-10-21 06:33:30,67%,8:19,,Drank coffee:Drank tea:Worked out,60.60493827160494,7271
467,2016-10-22 01:38:50,2016-10-22 07:18:16,54%,5:39,,Drank coffee:Drank tea,60.60493827160494,6044
468,2016-10-23 00:07:46,2016-10-23 08:47:55,81%,8:40,,Drank coffee,60.60493827160494,7682
469,2016-10-23 22:21:35,2016-10-24 06:23:30,66%,8:01,,Drank coffee:Drank tea,60.60493827160494,6719
470,2016-10-24 23:04:24,2016-10-25 06:25:53,65%,7:21,,Drank coffee:Drank tea:Worked out,60.60493827160494,8273
471,2016-10-25 22:48:36,2016-10-26 06:35:20,69%,7:46,,Drank tea:Worked out,60.60493827160494,6366
472,2016-10-26 22:55:13,2016-10-27 06:26:10,72%,7:30,,Drank coffee:Drank tea:Worked out,60.60493827160494,9368
473,2016-10-27 23:03:27,2016-10-28 06:35:41,63%,7:32,,Drank coffee:Drank tea:Worked out,60.60493827160494,7967
474,2016-10-29 00:16:28,2016-10-29 07:51:08,66%,7:34,,Drank coffee:Drank tea,60.60493827160494,8641
475,2016-10-30 22:46:10,2016-10-31 06:10:08,68%,7:23,,Drank coffee:Worked out,60.60493827160494,1283
476,2016-11-01 22:19:52,2016-11-02 05:57:51,68%,7:37,,Drank tea:Stressful day:Worked out,60.60493827160494,4542
477,2016-11-02 22:52:01,2016-11-03 06:30:20,72%,7:38,,Drank coffee:Drank tea:Stressful day,60.60493827160494,2870
478,2016-11-04 00:13:27,2016-11-04 06:15:18,52%,6:01,,Drank coffee:Drank tea:Stressful day,60.60493827160494,10506
479,2016-11-04 22:49:41,2016-11-05 07:58:35,80%,9:08,,Drank coffee:Stressful day,60.60493827160494,6716
480,2016-11-06 21:58:25,2016-11-07 05:47:40,65%,7:49,,Drank coffee,60.60493827160494,6623
481,2016-11-07 22:16:20,2016-11-08 05:51:55,70%,7:35,,Drank tea:Worked out,60.60493827160494,6608
482,2016-11-08 22:51:28,2016-11-09 05:48:09,62%,6:56,,Drank coffee:Drank tea:Worked out,60.60493827160494,7119
483,2016-11-09 22:37:37,2016-11-10 05:55:35,65%,7:17,,Drank coffee:Drank tea:Worked out,60.60493827160494,8981
484,2016-11-10 23:58:36,2016-11-11 07:19:01,56%,7:20,,Drank coffee:Drank tea:Worked out,60.60493827160494,7385
485,2016-11-11 23:25:33,2016-11-12 07:16:45,74%,7:51,,Drank coffee:Drank tea,60.60493827160494,737
486,2016-11-15 22:14:54,2016-11-16 07:35:12,72%,9:20,,Drank tea,60.60493827160494,5274
487,2016-11-16 23:10:58,2016-11-17 07:07:23,70%,7:56,,Drank coffee,60.60493827160494,2670
488,2016-11-17 23:15:24,2016-11-18 06:59:25,73%,7:44,,Drank tea,60.60493827160494,5825
489,2016-11-18 23:37:14,2016-11-19 07:13:39,70%,7:36,,Drank coffee:Drank tea,60.60493827160494,5971
490,2016-11-19 23:47:47,2016-11-20 07:53:30,81%,8:05,,Drank tea,60.60493827160494,1540
491,2016-11-20 23:00:56,2016-11-21 07:02:20,80%,8:01,,Drank coffee:Drank tea,60.60493827160494,847
492,2016-11-21 22:38:54,2016-11-22 05:40:29,68%,7:01,,Drank coffee:Drank tea,60.60493827160494,6149
493,2016-11-22 21:26:49,2016-11-23 05:40:44,80%,8:13,,Drank tea:Worked out,60.60493827160494,10585
494,2016-11-23 22:44:23,2016-11-24 06:10:19,73%,7:25,,Drank coffee:Drank tea:Worked out,60.60493827160494,10248
495,2016-11-24 22:00:35,2016-11-25 06:39:41,88%,8:39,,Drank tea:Worked out,60.60493827160494,6536
496,2016-11-25 23:09:40,2016-11-26 07:40:13,89%,8:30,,Drank coffee:Drank tea,60.60493827160494,5628
497,2016-11-27 22:01:16,2016-11-28 06:18:05,75%,8:16,,Drank tea,60.60493827160494,595
498,2016-11-28 22:35:53,2016-11-29 06:26:48,83%,7:50,,Drank tea:Worked out,60.60493827160494,7499
499,2016-11-29 23:33:57,2016-11-30 06:31:02,71%,6:57,,Drank tea,60.60493827160494,3196
500,2016-11-30 21:12:34,2016-12-01 05:13:52,89%,8:01,,Drank coffee:Drank tea,60.60493827160494,3763
501,2016-12-01 05:14:26,2016-12-01 06:38:52,17%,1:24,,,60.60493827160494,3763
502,2016-12-01 21:40:00,2016-12-02 05:11:18,71%,7:31,,Drank tea,60.60493827160494,4904
503,2016-12-04 01:18:30,2016-12-04 09:20:41,89%,8:02,,Drank coffee:Drank tea,60.60493827160494,3158
504,2016-12-04 21:45:14,2016-12-05 05:45:33,78%,8:00,,Drank tea,60.60493827160494,4514
505,2016-12-05 21:44:42,2016-12-06 05:40:05,79%,7:55,,Drank tea:Worked out,60.60493827160494,7137
506,2016-12-06 22:13:52,2016-12-07 05:46:46,72%,7:32,,Drank tea:Worked out,60.60493827160494,7709
507,2016-12-07 22:46:53,2016-12-08 06:19:39,82%,7:32,,Drank coffee:Drank tea:Worked out,60.60493827160494,10521
508,2016-12-08 23:32:15,2016-12-09 06:47:33,69%,7:15,,Drank coffee:Drank tea:Worked out,60.60493827160494,9338
509,2016-12-09 22:48:02,2016-12-10 08:11:02,79%,9:23,,Drank tea,60.60493827160494,4629
510,2016-12-11 01:07:36,2016-12-11 08:27:16,82%,7:19,,Drank coffee:Worked out,60.60493827160494,5776
511,2016-12-11 22:14:46,2016-12-12 06:16:45,85%,8:01,,Drank tea,60.60493827160494,168
512,2016-12-12 22:56:32,2016-12-13 06:35:28,81%,7:38,,Drank coffee:Drank tea,60.60493827160494,6964
513,2016-12-13 22:02:53,2016-12-14 06:05:24,83%,8:02,,Drank coffee:Drank tea:Worked out,60.60493827160494,3448
514,2016-12-14 21:57:40,2016-12-15 06:18:20,74%,8:20,,Drank tea,60.60493827160494,4114
515,2016-12-15 21:29:37,2016-12-16 05:00:47,75%,7:31,,Drank tea,60.60493827160494,7112
516,2016-12-18 22:35:39,2016-12-19 05:47:37,78%,7:11,,Drank coffee:Drank tea,60.60493827160494,3391
517,2016-12-19 21:49:28,2016-12-20 06:35:32,96%,8:46,,Drank tea,60.60493827160494,2335
518,2016-12-20 23:48:48,2016-12-21 07:09:06,84%,7:20,,Drank tea,60.60493827160494,7293
519,2016-12-21 23:56:08,2016-12-22 07:30:08,86%,7:33,,Drank coffee:Drank tea,60.60493827160494,8488
520,2016-12-22 23:07:02,2016-12-23 07:07:26,74%,8:00,,Drank coffee:Drank tea:Stressful day,60.60493827160494,5701
521,2016-12-27 23:17:04,2016-12-28 07:22:29,69%,8:05,,Drank coffee:Drank tea,60.60493827160494,4509
522,2016-12-30 23:25:36,2016-12-31 08:26:18,92%,9:00,,Drank coffee:Drank tea,60.60493827160494,3868
523,2017-01-02 22:35:54,2017-01-03 05:10:36,73%,6:34,,Drank coffee:Drank tea,60.60493827160494,5216
524,2017-01-03 05:11:12,2017-01-03 06:30:19,17%,1:19,,,60.60493827160494,5216
525,2017-01-03 21:47:36,2017-01-04 05:57:07,87%,8:09,,Drank tea,60.60493827160494,3669
526,2017-01-04 22:40:41,2017-01-05 06:10:16,87%,7:29,,Drank coffee:Drank tea:Worked out,60.60493827160494,10856
527,2017-01-05 22:39:33,2017-01-06 06:42:11,93%,8:02,,Drank tea:Worked out,60.60493827160494,7787
528,2017-01-06 23:14:42,2017-01-07 08:43:54,90%,9:29,,Drank coffee:Drank tea,60.60493827160494,10344
529,2017-01-08 00:34:09,2017-01-08 07:56:17,79%,7:22,,Drank tea,60.60493827160494,3094
530,2017-01-08 22:07:26,2017-01-09 06:23:46,84%,8:16,,Drank tea,60.60493827160494,202
531,2017-01-09 22:42:26,2017-01-10 06:40:14,65%,7:57,,Drank coffee:Drank tea,60.60493827160494,7122
532,2017-01-10 22:20:00,2017-01-11 06:14:43,84%,7:54,,Drank coffee:Drank tea,60.60493827160494,1734
533,2017-01-11 22:14:13,2017-01-12 05:22:08,73%,7:07,,Drank coffee:Drank tea,60.60493827160494,2562
534,2017-01-12 22:13:43,2017-01-13 05:31:40,64%,7:17,,Ate late:Drank coffee:Drank tea,60.60493827160494,8076
535,2017-01-13 23:27:43,2017-01-14 07:22:42,89%,7:54,,Drank tea:Worked out,60.60493827160494,12802
536,2017-01-15 23:25:52,2017-01-16 06:58:37,74%,7:32,,Drank coffee:Drank tea:Worked out,60.60493827160494,12258
537,2017-01-16 21:58:38,2017-01-17 05:11:26,71%,7:12,,Drank tea,60.60493827160494,4540
538,2017-01-17 05:12:01,2017-01-17 07:20:39,24%,2:08,,,60.60493827160494,4540
539,2017-01-17 22:23:54,2017-01-18 05:01:08,57%,6:37,,Drank tea,60.60493827160494,173
540,2017-01-18 22:22:23,2017-01-19 06:31:54,76%,8:09,,Drank tea,60.60493827160494,6368
541,2017-01-19 22:14:59,2017-01-20 06:30:21,92%,8:15,,Drank coffee:Drank tea,60.60493827160494,1740
542,2017-01-20 23:07:08,2017-01-21 07:45:58,78%,8:38,,Drank tea,60.60493827160494,5056
543,2017-01-21 23:12:38,2017-01-22 07:42:38,96%,8:29,,Drank tea,60.60493827160494,4223
544,2017-01-22 22:03:13,2017-01-23 06:25:22,64%,8:22,,Drank tea,60.60493827160494,4336
545,2017-01-23 22:34:02,2017-01-24 06:09:14,89%,7:35,,Drank coffee:Drank tea,60.60493827160494,4772
546,2017-01-24 22:55:44,2017-01-25 06:13:18,84%,7:17,,Drank coffee:Drank tea,60.60493827160494,3492
547,2017-01-25 20:54:01,2017-01-26 05:09:50,85%,8:15,,Drank tea:Worked out,60.60493827160494,6010
548,2017-01-26 22:12:44,2017-01-27 04:58:00,54%,6:45,,Drank coffee:Drank tea:Worked out,60.60493827160494,4200
549,2017-01-27 04:58:17,2017-01-27 06:40:57,21%,1:42,,,60.60493827160494,4200
550,2017-01-27 23:22:46,2017-01-28 07:25:11,91%,8:02,,Drank coffee:Drank tea,60.60493827160494,4573
551,2017-01-30 23:27:29,2017-01-31 06:01:53,63%,6:34,,Drank coffee,60.60493827160494,3228
552,2017-01-31 22:44:33,2017-02-01 06:20:33,78%,7:36,,Drank coffee:Drank tea:Worked out,60.60493827160494,5379
553,2017-02-01 22:41:03,2017-02-02 06:10:32,74%,7:29,,Drank coffee:Drank tea:Worked out,60.60493827160494,7521
554,2017-02-02 22:19:54,2017-02-03 06:31:10,85%,8:11,,Drank coffee:Drank tea,60.60493827160494,2309
555,2017-02-03 23:58:49,2017-02-04 07:08:37,80%,7:09,,Drank coffee:Drank tea,60.60493827160494,2983
556,2017-02-04 23:45:02,2017-02-05 07:20:28,68%,7:35,,Drank coffee:Drank tea,60.60493827160494,6833
557,2017-02-05 22:53:55,2017-02-06 06:30:28,75%,7:36,,Drank coffee:Drank tea,60.60493827160494,7665
558,2017-02-06 22:30:15,2017-02-07 06:20:17,71%,7:50,,Ate late:Drank coffee:Drank tea:Worked out,60.60493827160494,7552
559,2017-02-07 23:34:51,2017-02-08 06:30:17,71%,6:55,,Drank coffee:Drank tea,60.60493827160494,5339
560,2017-02-08 23:46:48,2017-02-09 06:27:00,68%,6:40,,Drank coffee:Drank tea,60.60493827160494,4076
561,2017-02-09 22:31:43,2017-02-10 05:00:18,62%,6:28,,Drank coffee:Drank tea:Stressful day:Worked out,60.60493827160494,12892
562,2017-02-10 05:00:41,2017-02-10 06:36:44,21%,1:36,,,60.60493827160494,12892
563,2017-02-10 22:37:33,2017-02-11 07:07:59,100%,8:30,,Drank tea,60.60493827160494,3417
564,2017-02-12 21:49:33,2017-02-13 07:06:19,63%,9:16,,Drank coffee:Drank tea,60.60493827160494,2756
565,2017-02-13 21:51:58,2017-02-14 05:02:27,74%,7:10,,Drank coffee:Drank tea,60.60493827160494,6003
566,2017-02-14 05:02:55,2017-02-14 06:36:52,12%,1:33,,,60.60493827160494,6003
567,2017-02-14 23:17:25,2017-02-15 06:13:14,59%,6:55,,Drank coffee:Drank tea,60.60493827160494,3588
568,2017-02-15 22:36:26,2017-02-16 06:25:08,44%,7:48,,Drank coffee:Drank tea,60.60493827160494,5558
569,2017-02-16 22:33:17,2017-02-17 06:31:28,83%,7:58,,Drank coffee:Drank tea,60.60493827160494,3301
570,2017-02-17 23:49:14,2017-02-18 08:09:19,93%,8:20,,Drank coffee:Drank tea,60.60493827160494,3027
571,2017-02-19 00:28:17,2017-02-19 08:16:49,79%,7:48,,Drank tea,60.60493827160494,3361
572,2017-02-19 22:12:40,2017-02-20 06:16:47,66%,8:04,,Drank coffee:Drank tea,60.60493827160494,460
573,2017-02-20 22:43:58,2017-02-21 06:27:19,76%,7:43,,Drank tea,60.60493827160494,7419
574,2017-02-21 23:14:34,2017-02-22 06:26:11,72%,7:11,,Drank coffee:Drank tea,60.60493827160494,5499
575,2017-02-22 21:30:46,2017-02-23 05:02:42,83%,7:31,,Drank tea,60.60493827160494,4258
576,2017-02-23 22:15:13,2017-02-24 05:34:22,81%,7:19,,Drank coffee:Drank tea,60.60493827160494,5862
577,2017-02-24 05:34:46,2017-02-24 06:30:30,12%,0:55,,,60.60493827160494,5862
578,2017-02-25 02:46:24,2017-02-25 09:52:39,80%,7:06,,Ate late:Drank coffee:Drank tea:Worked out,60.60493827160494,6388
579,2017-02-26 00:40:06,2017-02-26 07:47:20,77%,7:07,,Drank tea,60.60493827160494,4275
580,2017-02-27 22:16:11,2017-02-28 05:50:20,81%,7:34,,Drank coffee,60.60493827160494,2499
581,2017-02-28 21:39:30,2017-03-01 05:40:39,87%,8:01,,Drank coffee:Drank tea:Worked out,60.60493827160494,7351
582,2017-03-01 05:43:20,2017-03-01 06:40:40,12%,0:57,,,60.60493827160494,7351
583,2017-03-01 22:23:16,2017-03-02 06:30:31,85%,8:07,,Drank coffee:Drank tea,60.60493827160494,6109
584,2017-03-02 22:22:27,2017-03-03 06:18:06,81%,7:55,,Drank coffee:Drank tea:Worked out,60.60493827160494,6388
585,2017-03-05 00:12:24,2017-03-05 08:28:54,96%,8:16,,Drank coffee:Drank tea,60.60493827160494,6785
586,2017-03-05 22:01:00,2017-03-06 06:08:33,93%,8:07,,Drank coffee:Drank tea,60.60493827160494,171
587,2017-03-06 22:01:27,2017-03-07 06:22:56,97%,8:21,,Drank coffee:Drank tea,60.60493827160494,4670
588,2017-03-07 22:13:31,2017-03-08 06:15:26,90%,8:01,,Drank coffee:Drank tea:Worked out,60.60493827160494,7000
589,2017-03-08 21:13:09,2017-03-09 06:18:48,85%,9:05,,Drank coffee:Drank tea,60.60493827160494,3744
590,2017-03-09 21:48:29,2017-03-10 05:01:32,71%,7:13,,Drank coffee:Drank tea:Worked out,60.60493827160494,7028
591,2017-03-10 22:42:49,2017-03-11 06:57:16,86%,8:14,,Drank coffee:Drank tea,60.60493827160494,2679
592,2017-03-12 22:39:47,2017-03-13 06:33:44,80%,7:53,,Drank coffee:Drank tea,60.60493827160494,1572
593,2017-03-13 21:20:30,2017-03-14 05:02:38,81%,7:42,,Drank tea:Worked out,60.60493827160494,6212
594,2017-03-14 21:06:21,2017-03-15 05:23:46,89%,8:17,,Drank tea:Worked out,60.60493827160494,5933
595,2017-03-15 22:33:27,2017-03-16 06:17:42,71%,7:44,,Drank coffee:Drank tea:Worked out,60.60493827160494,9185
596,2017-03-16 22:33:05,2017-03-17 06:37:29,95%,8:04,,Drank coffee:Drank tea:Worked out,60.60493827160494,7887
597,2017-03-17 22:55:16,2017-03-18 08:02:40,99%,9:07,,Drank coffee:Drank tea,60.60493827160494,10528
598,2017-03-18 22:26:50,2017-03-19 07:21:18,89%,8:54,,Drank tea,60.60493827160494,302
599,2017-03-20 00:02:06,2017-03-20 07:20:24,79%,7:18,,Drank coffee:Drank tea,60.60493827160494,2750
600,2017-03-20 23:35:25,2017-03-21 07:16:45,88%,7:41,,Drank coffee:Drank tea,60.60493827160494,3695
601,2017-03-21 23:20:23,2017-03-22 06:21:50,79%,7:01,,Drank coffee:Drank tea,60.60493827160494,1913
602,2017-03-22 22:02:27,2017-03-23 05:15:10,72%,7:12,,Drank tea:Worked out,60.60493827160494,7155
603,2017-03-23 22:20:49,2017-03-24 05:41:56,76%,7:21,,Drank coffee:Drank tea:Worked out,60.60493827160494,7810
604,2017-03-25 23:19:31,2017-03-26 07:16:06,100%,7:56,,Drank coffee:Drank tea,60.60493827160494,3549
605,2017-03-26 22:03:26,2017-03-27 05:33:14,83%,7:29,,Drank coffee:Drank tea:Worked out,60.60493827160494,3554
606,2017-03-27 21:19:26,2017-03-28 05:42:21,78%,8:22,,Drank tea:Worked out,60.60493827160494,7562
607,2017-03-28 22:29:53,2017-03-29 05:41:34,78%,7:11,,Drank coffee:Drank tea:Worked out,60.60493827160494,7823
608,2017-03-29 22:29:26,2017-03-30 06:04:16,79%,7:34,,Drank coffee:Drank tea:Worked out,60.60493827160494,7708
609,2017-03-30 22:42:12,2017-03-31 07:33:52,93%,8:51,,Drank coffee:Drank tea:Worked out,60.60493827160494,8615
610,2017-04-01 02:10:07,2017-04-01 08:37:45,80%,6:27,,Drank coffee:Drank tea,60.60493827160494,9461
611,2017-04-01 21:22:18,2017-04-02 07:16:24,95%,9:54,,Drank tea,60.60493827160494,4595
612,2017-04-02 22:01:10,2017-04-03 06:20:15,90%,8:19,,Drank coffee:Drank tea:Worked out,60.60493827160494,2835
613,2017-04-03 21:58:04,2017-04-04 06:01:05,92%,8:03,,Drank tea,60.60493827160494,1898
614,2017-04-04 22:01:48,2017-04-05 06:11:12,81%,8:09,,Drank tea:Worked out,60.60493827160494,8396
615,2017-04-05 23:45:02,2017-04-06 06:20:30,73%,6:35,,Drank coffee:Drank tea:Worked out,60.60493827160494,7948
616,2017-04-06 23:12:55,2017-04-07 06:20:28,68%,7:07,,Drank coffee:Drank tea:Worked out,60.60493827160494,14408
617,2017-04-08 00:00:47,2017-04-08 07:30:09,75%,7:29,,Drank coffee:Drank tea:Worked out,60.60493827160494,8646
618,2017-04-10 00:52:01,2017-04-10 06:32:21,65%,5:40,,Drank coffee,60.60493827160494,771
619,2017-04-10 22:21:48,2017-04-11 05:41:07,70%,7:19,,Drank tea:Worked out,60.60493827160494,11355
620,2017-04-11 06:03:43,2017-04-11 06:31:04,6%,0:27,,,60.60493827160494,0
621,2017-04-11 22:39:32,2017-04-12 05:55:47,67%,7:16,,,60.60493827160494,4153
622,2017-04-12 21:42:46,2017-04-13 06:54:43,74%,9:11,,Drank tea,60.60493827160494,1318
623,2017-04-13 23:52:36,2017-04-14 08:05:24,83%,8:12,,Drank coffee:Drank tea,60.60493827160494,889
624,2017-04-14 21:45:29,2017-04-15 07:52:55,88%,10:07,,Drank tea,60.60493827160494,4787
625,2017-04-15 23:23:33,2017-04-16 07:05:46,73%,7:42,,Drank tea,60.60493827160494,4581
626,2017-04-17 00:06:45,2017-04-17 07:51:04,83%,7:44,,Drank coffee:Drank tea,60.60493827160494,1510
627,2017-04-17 22:12:26,2017-04-18 05:54:09,66%,7:41,,Drank coffee:Drank tea,60.60493827160494,780
628,2017-04-18 22:43:50,2017-04-19 06:20:23,59%,7:36,,Drank coffee:Drank tea:Worked out,60.60493827160494,6284
629,2017-04-19 21:39:14,2017-04-20 05:30:23,75%,7:51,,,60.60493827160494,8213
630,2017-04-20 22:15:07,2017-04-21 05:41:14,75%,7:26,,Drank coffee:Drank tea:Worked out,60.60493827160494,7905
631,2017-04-21 22:36:25,2017-04-22 07:46:24,83%,9:09,,Drank coffee:Drank tea:Worked out,60.60493827160494,8072
632,2017-04-23 00:53:51,2017-04-23 08:38:20,86%,7:44,,Drank coffee:Drank tea,60.60493827160494,2666
633,2017-04-23 22:31:31,2017-04-24 06:31:01,75%,7:59,,Drank coffee,60.60493827160494,3042
634,2017-04-24 23:07:26,2017-04-25 06:34:32,72%,7:27,,Drank coffee:Drank tea:Worked out,60.60493827160494,10319
635,2017-04-25 22:20:09,2017-04-26 06:20:58,85%,8:00,,Drank coffee:Drank tea:Worked out,60.60493827160494,8358
